"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"107";"zoota-z";"162888";"36632";"87605";"48409";"4457598";"78695";"64463";"1.2207779";"0.19593461";"1023";"4068";"0.25147492";"2.1924994";"71387";"36050";"53004";"1750";"11559.328";"3128.3218";"26157.436";"458";"239"
"108";"TW2N";"453949";"186432";"178018";"110835";"8085178";"165452";"75038";"2.2049096";"0.2961792";"3803";"2052";"1.8533138";"3.3687496";"70828";"17577";"298274";"48337";"15465.013";"4760.979";"119205.12";"15448";"3485"
"109";"GRiZZZLe8";"475585";"155125";"132543";"207982";"9230928";"124086";"121767";"1.0190445";"0.27031213";"3818";"7197";"0.5304988";"3.0912495";"68373";"22968";"299226";"59302";"21514.883";"4285.7783";"61081.117";"13093";"12623"
"110";"megabandicoot";"177817";"49497";"79949";"54397";"2861647";"76382";"66082";"1.155867";"0.3579986";"1464";"2297";"0.63735306";"3.7282796";"67884";"25999";"60212";"5136";"6353.2886";"651.98694";"16794.18";"14959";"3627"
"111";"blagueur";"2813418";"1894097";"421584";"584491";"18724539";"381456";"272860";"1.3979917";"0.26321957";"9603";"5796";"1.6568323";"9.01518";"67426";"9264";"2722702";"9955";"55451.8";"10129.592";"35264.58";"523";"3548"
"112";"GUMMYGREENBOY";"117902";"19003";"48783";"51996";"1895875";"45690";"29009";"1.5750284";"0.29419407";"948";"1308";"0.72477067";"3.731322";"67375";"10239";"18191";"10661";"4780.2725";"860.8051";"11730.956";"615";"10821"
"113";"SYKOTIK_PULSE";"314867";"115521";"97300";"115866";"4228240";"93156";"50368";"1.8495076";"0.2606285";"2168";"2093";"1.0358337";"4.4680576";"66961";"11583";"220035";"8157";"10896.9375";"1093.3765";"45540.89";"7190";"941"
"114";"DEAMON-GOD";"118727";"26187";"59324";"37702";"4013510";"57086";"66837";"0.85410774";"0.35014844";"559";"2124";"0.26318267";"1.7749102";"66153";"8029";"43685";"696";"6967.7456";"3216.3516";"14926.767";"83";"81"
"115";"Michumuruco";"91255";"12174";"52899";"30464";"2030823";"51510";"39160";"1.3153728";"0.29415813";"675";"1631";"0.41385654";"2.696099";"66122";"2717";"20111";"1192";"5616.54";"608.60126";"4330.68";"628";"485"
"116";"SilenceIKilU";"116677";"16417";"51894";"52097";"1654597";"50374";"33837";"1.4887253";"0.39984563";"907";"696";"1.3031609";"4.231012";"65050";"18310";"22344";"3769";"4654.4717";"744.05145";"10982.257";"5741";"1463"
"117";"Craigerson";"334050";"124752";"106626";"109362";"4009611";"98985";"47650";"2.0773346";"0.22659259";"3167";"2272";"1.393926";"4.9987392";"64835";"10490";"99257";"154581";"5816.378";"1454.5516";"89541.33";"1705";"3182"
"118";"GLADIATOR_KW";"279072";"123795";"98140";"67448";"4194772";"92310";"53133";"1.7373384";"0.2610426";"2259";"2596";"0.8701849";"3.9917116";"63739";"21903";"152814";"38990";"9493.001";"2954.288";"36782.992";"899";"727"
"119";"PHILIPINO";"660738";"257609";"170336";"266299";"9194731";"162947";"65766";"2.4776785";"0.20978555";"4816";"4784";"1.006689";"4.3116302";"63417";"15189";"554189";"21042";"9421.77";"2806.8616";"181447.22";"5598";"1303"
"120";"jokerkid420";"425852";"159962";"114042";"173543";"5907934";"108395";"58848";"1.8419487";"0.18184933";"2988";"3755";"0.795739";"4.3248825";"63121";"29450";"308223";"13406";"8334.543";"2108.277";"148527.9";"2488";"9164"
"121";"J-FIC";"-321985731";"-22836986";"-99646080";"-99434171";"9395984";"-99667439";"100196021";"-0.9947245";"0.23197134";"4969";"5571";"0.8919404";"-2056.1064";"63032";"23088";"-322137884";"42514";"20315.318";"4100.04";"74692.375";"13412";"10107"
"122";"GeneraLee27";"337454";"189607";"95581";"63867";"5827709";"91389";"84536";"1.081066";"0.20932601";"1854";"3798";"0.48815167";"3.4743052";"62906";"28675";"234306";"6003";"11404.119";"3652.751";"40965.195";"4811";"753"
"123";"Barbarrian666";"385537";"132416";"134205";"145421";"7180482";"126211";"103189";"1.2231052";"0.24809201";"2952";"5946";"0.49646822";"3.2215414";"62630";"13096";"297427";"5374";"20415.287";"2035.2855";"32209.02";"5176";"1834"
"124";"aceventurea";"166548";"49216";"76074";"49537";"4858645";"73158";"71802";"1.0188853";"0.2109019";"982";"3549";"0.27669767";"2.0567217";"62554";"19760";"71891";"9115";"10104.331";"3010.776";"45296.695";"2457";"771"
"125";"syclan";"429007";"187100";"152816";"108597";"7112151";"141797";"92399";"1.5346162";"0.27488825";"3670";"3065";"1.1973898";"3.6192172";"61688";"31671";"237992";"70438";"13213.967";"3258.2083";"62867.46";"14420";"12798"
"126";"sheogorath15";"312433";"118235";"83036";"123457";"5820915";"77872";"59958";"1.2987758";"0.25577965";"2387";"6204";"0.38475177";"3.2204525";"61126";"9745";"189273";"41184";"11915.36";"1953.974";"37480.395";"5424";"5681"
"127";"Marquise101HVC";"481852";"183872";"153866";"169166";"8603530";"143509";"107133";"1.3395406";"0.21831468";"3970";"8906";"0.4457669";"3.3603787";"61120";"26128";"338592";"37109";"22568.518";"2552.2922";"58680.426";"13706";"5197"
"128";"THEBIGGEST";"117542";"32783";"55165";"36550";"2072073";"52715";"42879";"1.2293897";"0.25118914";"1162";"1601";"0.7257964";"3.403606";"60972";"11144";"40126";"3161";"5625.56";"1287.7365";"5413.5356";"1265";"874"
"129";"lockNload147";"207589";"55201";"88491";"71605";"4193078";"81571";"62240";"1.310588";"0.2584459";"1392";"3900";"0.35692307";"2.9704528";"60569";"2764";"134892";"4249";"10986.363";"4751.042";"11710.119";"2274";"2841"
"130";"killa_t";"446163";"219027";"121470";"124352";"5285134";"116313";"51132";"2.2747595";"0.19316092";"2310";"3550";"0.6507042";"5.065109";"60383";"29635";"322865";"26174";"7660.1797";"1104.763";"133106.8";"3534";"3572"
"131";"daddybiizzle";"60839";"218";"32817";"28309";"776494";"32183";"16686";"1.9287426";"0.3285358";"396";"404";"0.980198";"4.7010536";"60364";"0";"302";"142";"2777.2874";"175.5215";"186.55182";"31";"0"
"132";"killa_boi";"692849";"367319";"147830";"197851";"8267556";"130750";"49672";"2.6322677";"0.18999903";"4796";"3035";"1.5802306";"5.028202";"60183";"65059";"487798";"38692";"8202.788";"5799.6904";"205060.38";"13732";"27385"
"133";"bit-blt";"60149";"361";"42850";"18244";"1439280";"42101";"32191";"1.30785";"0.3635485";"246";"1609";"0.15289";"2.507462";"59715";"99";"230";"111";"5185.1406";"25.406956";"288.9109";"0";"-6"
"134";"NooB_HDD";"294540";"176943";"33284";"105695";"3232424";"31716";"12271";"2.5846305";"0.19291721";"2416";"1934";"1.2492244";"5.4672284";"59261";"6742";"154362";"68778";"2915.4458";"646.7841";"21114.393";"796";"4601"
"135";"FORGiViN";"-399387396";"-99806144";"-99859868";"-99674239";"5580692";"-99869793";"100109235";"-0.9976082";"0.18290642";"2901";"3837";"0.7560594";"-4293.9556";"59093";"8116";"-399458358";"2888";"Infinity";"3330.9224";"125875.375";"435";"430"
"136";"hustlin4life21";"320887";"99457";"136020";"105863";"5792910";"130818";"85468";"1.5306079";"0.274358";"2079";"3972";"0.5234139";"3.3235836";"58919";"9540";"245661";"2650";"15369.235";"1066.0939";"55143.34";"3031";"1086"
"137";"DaddyBizzzle";"63750";"3168";"33575";"28334";"1062061";"32654";"21148";"1.5440704";"0.314049";"469";"882";"0.53174603";"3.6014879";"58798";"264";"3643";"648";"3321.327";"367.50317";"1412.0184";"170";"227"
"138";"KingsReturn";"222254";"86479";"97002";"51237";"4404225";"90737";"66127";"1.3721627";"0.26055506";"1442";"4349";"0.33157048";"3.027829";"58448";"10451";"123380";"17962";"9532.78";"2288.016";"33640.016";"8614";"3399"
"139";"Jrx-";"75733";"8065";"43312";"25952";"1807640";"42045";"26867";"1.5649309";"0.28709862";"962";"1733";"0.55510676";"2.5137637";"58352";"4917";"10461";"1217";"4361.0386";"576.93225";"10050.722";"422";"364"
"140";"UB34";"387952";"138473";"102356";"163257";"4812194";"97145";"66339";"1.4643724";"0.33250967";"3583";"2895";"1.2376511";"4.8371115";"57609";"23364";"259872";"32315";"11728.491";"1789.7014";"43635.05";"7798";"6994"
"141";"MuRdOc601";"194333";"80304";"52069";"66682";"2166755";"49655";"33636";"1.4762456";"0.29271773";"1321";"1047";"1.2617002";"5.38131";"56902";"13743";"89840";"32159";"5411.2803";"1786.7411";"12122.224";"1377";"312"
"142";"fame211";"339554";"124040";"132895";"103637";"6016240";"122754";"97092";"1.2643061";"0.23029208";"2300";"4384";"0.524635";"3.3863742";"56800";"9164";"265209";"3988";"15659.893";"4748.03";"11750.131";"1921";"2472"
"143";"ajiaboya";"57223";"305";"36617";"21456";"1094553";"35696";"24605";"1.450762";"0.36809552";"529";"1163";"0.45485812";"3.1367872";"56696";"191";"97";"235";"3711.38";"87.21479";"141.95505";"0";"4"
"144";"venom770";"84752";"13657";"57487";"16287";"2302405";"55142";"58005";"0.95064217";"0.3019405";"585";"1728";"0.33854166";"2.2086122";"56286";"3374";"14754";"2622";"6053.1167";"358.26514";"3421.1968";"5443";"2273"
"145";"Lakato66";"452198";"195743";"134329";"139383";"6430832";"124071";"90883";"1.3651729";"0.21197295";"3197";"3518";"0.90875494";"4.2190313";"56247";"32256";"298352";"32821";"11071.406";"3022.209";"102025.18";"11564";"20958"
"146";"supa_ghost354";"464475";"4295327492";"-4294828044";"19911";"10001089";"266815";"48499";"5.501454";"0.22197442";"5073";"7229";"0.70175683";"2.7865467";"55680";"488059";"-130154";"34999";"14494.594";"2771.1057";"190390.45";"7709";"8182"
"147";"tjoet";"69216";"5567";"43787";"21012";"1523480";"43151";"28819";"1.4973108";"0.43818757";"487";"1234";"0.39465153";"2.7259693";"55619";"4193";"8397";"840";"5110.7637";"100.9235";"2747.5454";"56";"111"
"148";"lurchumz";"387579";"174035";"109079";"120022";"4619350";"96978";"49743";"1.9495808";"0.25442252";"3210";"1493";"2.1500335";"5.034202";"54436";"8919";"195720";"98107";"7589.4";"3185.3267";"52438.523";"15753";"14644"
"149";"TOKER2";"75304";"10406";"41665";"25431";"1440929";"39558";"30531";"1.2956667";"0.33024493";"911";"1099";"0.8289354";"3.135644";"54091";"6111";"11253";"1585";"3653.5645";"798.37524";"3219.7512";"2160";"104"
"150";"SeppMan";"765094";"384816";"173368";"247784";"7196999";"169526";"131112";"1.2929862";"0.22269583";"4383";"2170";"2.0198157";"6.378442";"53526";"35534";"641111";"23635";"16864.625";"2261.4587";"31037.26";"9514";"1774"
"151";"hairycherries";"208343";"69259";"90601";"57423";"4418629";"85770";"71777";"1.194951";"0.26282936";"1308";"2660";"0.49172932";"2.829063";"53262";"30306";"105180";"12909";"9073.69";"2716.9517";"41902.605";"5433";"1253"
"152";"trailside13";"288606";"109659";"110767";"84286";"6303756";"105089";"102296";"1.0273031";"0.29610398";"1858";"4375";"0.42468572";"2.746991";"53239";"17563";"182272";"25271";"14847.495";"4478.804";"36828.188";"7232";"3029"
"153";"Params7";"476407";"245049";"129682";"114962";"7451720";"121478";"86526";"1.403948";"0.28365847";"3693";"4710";"0.78407645";"3.8359492";"52579";"15924";"195759";"190729";"10804.573";"4873.1846";"96538.97";"6689";"14727"
"154";"Eternal1999";"136228";"58607";"60613";"23582";"2723296";"57595";"53571";"1.0751153";"0.25013414";"733";"1970";"0.37208122";"3.0013926";"52573";"8223";"73040";"1502";"6564.268";"2103.1677";"6414.401";"510";"380"
"155";"motormaniac";"139755";"48287";"64094";"32836";"2349692";"60909";"41707";"1.4604024";"0.26965523";"1189";"2119";"0.5611137";"3.5686803";"52382";"10572";"62914";"8429";"6065.082";"1468.9109";"12684.49";"3241";"2217"
"156";"JPCesaro";"305238";"103124";"115586";"105731";"6101496";"108475";"70118";"1.547035";"0.2493667";"2419";"5119";"0.47255322";"3.0016048";"52381";"33146";"179384";"30797";"8019.0835";"1578.6754";"130649.266";"6100";"3430"
"157";"deidrelparker172";"60215";"3231";"41489";"18107";"1901333";"40277";"39169";"1.0282876";"0.29303336";"293";"2000";"0.1465";"1.9001932";"52236";"1251";"5315";"796";"5081.077";"673.4883";"1274.1168";"190";"427"
"158";"bluehillscott";"174733";"49518";"85590";"46909";"4969044";"78350";"70874";"1.1054829";"0.2602087";"1091";"3936";"0.27718496";"2.1098585";"51477";"3510";"119536";"53";"11162.009";"5690.863";"23354.922";"57";"100"
"159";"TX11";"289382";"117668";"92805";"87638";"4351793";"84774";"73116";"1.1594453";"0.2656942";"2033";"3026";"0.671844";"3.9898314";"51340";"10480";"66800";"143400";"8638.27";"4656.556";"34467.27";"12653";"4709"
"160";"iwillhurtyou";"116780";"35224";"53063";"33274";"2489954";"50628";"41388";"1.2232531";"0.32111612";"672";"2020";"0.33267328";"2.8140278";"51324";"8630";"51128";"4604";"6695.427";"634.5827";"8530.462";"593";"501"
"161";"morpheous";"142860";"28563";"64342";"56136";"1949942";"59119";"30391";"1.9452798";"0.39928353";"881";"489";"1.801636";"4.395823";"51303";"33081";"45715";"12608";"6560.165";"657.0014";"2306.1765";"153";"0"
"162";"Stealth_Killa313";"183194";"72135";"52718";"62326";"2274537";"50811";"32314";"1.5724144";"0.26092762";"1401";"1910";"0.7335079";"4.8324738";"51038";"15259";"100617";"10451";"5534.8804";"841.51324";"18539.78";"5742";"87"
