"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"48";"NickTrott";"1199160494";"1498760616";"-99895654";"-99687736";"13959137";"82290";"96701";"0.8509736";"0.15888013";"7454";"13558";"0.5497861";"5154.303";"5609";"8592";"1198705760";"416402";"20233.953";"9817.696";"71992.41";"3539";"20592"
"49";"Carlos512";"1136264";"441136";"350457";"407037";"23736486";"314155";"245833";"1.2779204";"0.21724";"8649";"13509";"0.64023983";"2.872196";"15488";"28389";"1071758";"10509";"41569.055";"20845.021";"300761.53";"6761";"3359"
"50";"MsBloodyMary";"494085";"245917";"131586";"162683";"13975735";"118337";"154832";"0.7642929";"0.17312539";"5012";"13459";"0.3723902";"2.1211836";"8913";"15227";"444967";"13948";"27500.09";"6802.5645";"51761.945";"3300";"7730"
"51";"xxLuckyLukexx-";"26545";"8688";"751";"23070";"8920639";"610";"159493";"0.0038246193";"0.010585956";"723";"13385";"0.05401569";"0.17854102";"14";"-1616";"13705";"12758";"236.13191";"15.698097";"6060.2925";"1684";"0"
"52";"greg3058";"548664";"87070";"131223";"343703";"25161134";"123607";"179536";"0.6884803";"0.2409537";"7103";"13249";"0.53611594";"1.3083608";"108505";"173787";"141132";"69955";"15798.223";"4576.625";"50173.926";"46405";"8880"
"53";"britdog";"748167";"218111";"230669";"356856";"23431484";"183355";"157884";"1.1613274";"0.20049971";"8432";"13169";"0.6402916";"1.9157994";"4194";"89559";"635312";"13708";"32758.96";"25082.63";"41056.33";"2755";"2639"
"54";"antnio7";"626943";"262872";"135665";"271789";"18266360";"121100";"210324";"0.5757783";"0.18738218";"6862";"12948";"0.529966";"2.0593364";"9679";"9130";"551698";"44660";"27447.781";"13563.51";"93279.21";"1173";"10603"
"55";"meatcompany";"827721";"308904";"218780";"344272";"19417509";"192590";"248981";"0.77351284";"0.20553215";"7026";"12932";"0.54330343";"2.5576537";"15425";"18042";"766292";"13281";"37708.773";"16664.367";"93989.22";"9913";"4768"
"56";"RIKO89000000";"104640";"40473";"34867";"33279";"18890051";"31375";"34682";"0.90464795";"0.16116692";"5468";"12836";"0.42598942";"0.33236542";"45353";"15653";"-1830";"16246";"26452.057";"15681.985";"118649.57";"22269";"6949"
"57";"Reeds_Wrath63";"781677";"235837";"44904";"516725";"18891715";"37824";"53399";"0.7083279";"0.14823204";"10552";"12773";"0.8261176";"2.4826024";"472";"14238";"459532";"246554";"10769.778";"10235.908";"50422.105";"1042";"59839"
