"RANK";"NAME";"PTS";"TS";"CS";"BS";"GT";"K";"D";"KDR";"GA";"W";"L";"WLR";"SPM";"DS";"TDS";"CTF";"ZS";"MW";"MD";"MF";"MRK";"COL"
"133";"j290o9870";"162030";"61003";"42163";"66383";"8659728";"37292";"64757";"0.57587594";"0.10178547";"1702";"3389";"0.50221306";"1.122645";"101";"1610";"152315";"6688";"7181.93";"17144.611";"75599.87";"560";"756"
"134";"JakobderLugner";"317810";"126688";"99676";"100937";"12549846";"84805";"92737";"0.9144678";"0.12345998";"3252";"7606";"0.4275572";"1.5194291";"9";"1095";"312790";"2965";"19403.398";"17138.732";"44653.496";"656";"295"
"135";"pasadenabiga29";"559089";"320337";"105390";"168633";"9674126";"96852";"185614";"0.52179253";"0.15752171";"3318";"5425";"0.6116129";"3.4675317";"6689";"6818";"535388";"6030";"19705.668";"17037.074";"43431.137";"2076";"2088"
"136";"alchy_capone";"306227";"126267";"87877";"103057";"10543844";"75783";"103945";"0.7290683";"0.10861697";"2538";"5434";"0.46705925";"1.7425922";"692";"4689";"256645";"39331";"16653.74";"16930.57";"110480.984";"2034";"2836"
"137";"gnarlyc";"768765";"366050";"206359";"239048";"13055001";"183264";"160962";"1.1385545";"0.19343893";"5063";"6062";"0.83520293";"3.5331979";"3177";"4681";"753961";"3911";"22618.494";"16906.086";"141365.34";"1028";"2007"
"138";"vinnydidit";"576863";"287938";"99371";"229266";"13027365";"84955";"175283";"0.48467335";"0.10323225";"5250";"7687";"0.68297124";"2.656852";"5612";"14796";"472571";"59733";"24321.627";"16877.686";"83421.82";"5145";"19006"
"139";"untechsavy";"488881";"215844";"117351";"165408";"10350081";"100230";"102797";"0.97502846";"0.19384219";"4050";"4839";"0.83694977";"2.8340707";"3334";"15512";"398976";"59069";"19091.885";"16876.143";"74491.15";"5547";"6443"
"140";"Qfighter";"-399457836";"-99741004";"-99856364";"-99841623";"15527787";"123517";"246621";"0.5008373";"0.15003163";"3663";"5171";"0.7083736";"-1543.5212";"773";"2624";"-399465852";"2259";"28317.104";"16771.023";"171667.97";"1592";"768"
"141";"Greaser305";"450503";"208442";"108292";"153546";"8504190";"93936";"69955";"1.3428061";"0.19617319";"3624";"3775";"0.96";"3.1784544";"7376";"22823";"348736";"49809";"10495.894";"16762.514";"101944.34";"6598";"15161"
"142";"meatcompany";"827721";"308904";"218780";"344272";"19417509";"192590";"248981";"0.77351284";"0.20553215";"7026";"12932";"0.54330343";"2.5576537";"15425";"18042";"766292";"13281";"37708.773";"16664.367";"93989.22";"9913";"4768"
